Fecha,COD_VIAJE,CLIENTE,UBICACION,Tarifa,CANTIDAD,PILOTO,Q,CREDITO,UNIDAD,C_CLIENTE,MAX,Conos,Custodio,GPS
01-01-17,10000540,UNIVERSIDAD FRANCISCO MARROQUIN,76002,0.427,243,Felipe Villatoro,103.75,90,Panel,2,300,x, ,x
01-01-17,10001010,EL PINCHE OBELISCO / Ajuste,76001,,1147,Hector Aragones Frutos,318.75,60,Camion Grande,,1200,x, ,x
01-01-17,10001428,HOSPITAL ROOSEVELT,76001,0.2901,424,Luis Jaime Urbano,123,90,Panel,2,500,x, ,x
01-01-17,10001654,TIENDA LA BENDICION,76001,0.2766,1278,Fernando Mariano Berrio,353.5,60,Camion Grande,3,1300,x,x,x
01-01-17,10002112,POLLO PINULITO,76001,0.2669,1837,Ismael Rodero Monteagudo,490.25,90,Camion Grande,4,1900, , ,x
02-01-17,10000046,UBIQUO LABS / Ajuste,76002,,596,Luis Jaime Urbano,185,60,Camion Pequeño,0,600,x, ,x
02-01-17,10000730,UBIQUO LABS,76001,0.2611,718,Hector Aragones Frutos,187.5,30,Camion Pequeño,,800,x, ,x
02-01-17,10001005,HOSPITAL ROOSEVELT,76002,0.2958,1026,Felipe Villatoro,303.5,60,Camion Grande,1,1100,x, ,x
02-01-17,10001788,TAQUERIA EL CHINITO,76001,0.2822,1427,Angel Valdez Alegria,402.75,30,Camion Grande,3,1500,x,x,x
03-01-17,10000834,UNIVERSIDAD FRANCISCO MARROQUIN,76001,0.307,561,Juan Francisco Portillo Gomez,172.25,60,Camion Pequeño,5,600,x, ,x
03-01-17,10000847,ABARROTERIA EBENEZER,76001,0.2541,1938,Hector Giron,492.5,60,Camion Grande,2,2000,x, ,x
03-01-17,10000890,TIENDA LA BENDICION,76002,0.2832,271,Hector Giron,76.75,60,Panel,5,300,x,x,x
03-01-17,10001555,POLLO PINULITO,76002,0.2647,1832,Fernando Mariano Berrio,485,30,Camion Grande,,1900,x, ,x
03-01-17,10001578,UBIQUO LABS / Ajuste,76001,,287,Fernando Mariano Berrio,97.75,30,Panel,3,300,x, ,x
03-01-17,10001627,POLLO PINULITO,76001,0.2672,1688,Luis Jaime Urbano,451,60,Camion Grande,2,1700, ,x,x
